time,2020/6/1 12:00,2020/6/1 13:00,2020/6/1 14:00,2020/6/1 15:00,2020/6/1 16:00,2020/6/1 17:00,2020/6/1 18:00,2020/6/1 19:00,2020/6/1 20:00,2020/6/1 21:00,2020/6/1 22:00,2020/6/1 23:00,2020/6/2 0:00,2020/6/2 1:00,2020/6/2 2:00,2020/6/2 3:00,2020/6/2 4:00,2020/6/2 5:00,2020/6/2 6:00,2020/6/2 7:00,2020/6/2 8:00,2020/6/2 9:00,2020/6/2 10:00,2020/6/2 11:00,2020/6/2 12:00,2020/6/2 13:00,2020/6/2 14:00,2020/6/2 15:00,2020/6/2 16:00,2020/6/2 17:00,2020/6/2 18:00,2020/6/2 19:00,2020/6/2 20:00,2020/6/2 21:00,2020/6/2 22:00,2020/6/2 23:00,2020/6/3 0:00,2020/6/3 1:00,2020/6/3 2:00,2020/6/3 3:00,2020/6/3 4:00,2020/6/3 5:00,2020/6/3 6:00,2020/6/3 7:00,2020/6/3 8:00,2020/6/3 9:00,2020/6/3 10:00,2020/6/3 11:00,2020/6/3 12:00,2020/6/3 13:00,2020/6/3 14:00,2020/6/3 15:00,2020/6/3 16:00,2020/6/3 17:00,2020/6/3 18:00,2020/6/3 19:00,2020/6/3 20:00,2020/6/3 21:00,2020/6/3 22:00,2020/6/3 23:00,2020/6/4 0:00,2020/6/4 1:00,2020/6/4 2:00,2020/6/4 3:00,2020/6/4 4:00,2020/6/4 5:00,2020/6/4 6:00,2020/6/4 7:00,2020/6/4 8:00,2020/6/4 9:00,2020/6/4 10:00,2020/6/4 11:00,2020/6/4 12:00,2020/6/4 13:00,2020/6/4 14:00,2020/6/4 15:00,2020/6/4 16:00,2020/6/4 17:00,2020/6/4 18:00,2020/6/4 19:00,2020/6/4 20:00,2020/6/4 21:00,2020/6/4 22:00,2020/6/4 23:00,2020/6/5 0:00,2020/6/5 1:00,2020/6/5 2:00,2020/6/5 3:00,2020/6/5 4:00,2020/6/5 5:00,2020/6/5 6:00,2020/6/5 7:00,2020/6/5 8:00,2020/6/5 9:00,2020/6/5 10:00,2020/6/5 11:00,2020/6/5 12:00,2020/6/5 13:00,2020/6/5 14:00,2020/6/5 15:00
hoge11,NA,NA,179,30,-70.66666667,-245.8333333,16.33333333,NA,NA,223.3055556,-121.0428571,-588.3873016,-837.1503968,-1085.913492,NA,NA,111.8472222,52.95714286,-1388.595635,-1637.35873,-1886.121825,NA,NA,0.388888889,226.9571429,-2188.803968,-2437.567063,-2686.330159,NA,NA,-111.0694444,400.9571429,-2989.012302,-3237.775397,-3486.538492,NA,NA,-222.5277778,574.9571429,-3789.220635,-4037.98373,-4286.746825,NA,NA,-333.9861111,748.9571429,-4589.428968,-4838.192063,-5086.955159,NA,NA,-445.4444444,922.9571429,-5389.637302,-5638.400397,-5887.163492,NA,NA,-556.9027778,1096.957143,-6189.845635,-6438.60873,-6687.371825,NA,NA,-668.3611111,1270.957143,-6990.053968,-7238.817063,-7487.580159,NA,NA,-779.8194444,1444.957143,-7790.262302,-8039.025397,-8287.788492,NA,NA,-891.2777778,1618.957143,-8590.470635,-8839.23373,-9087.996825,NA,NA,-1002.736111,1792.957143,-9390.678968,-9639.442063,-9888.205159,NA,NA,-1114.194444,1966.957143,-10190.8873,-10439.6504,-10688.41349,NA,NA
hoge12,256,15,179,NA,-98.66666667,-286.3333333,11.33333333,171.6666667,170.1666667,232.3888889,NA,-664.4111111,-939.4777778,-1214.544444,167.1666667,165.6666667,106.0555556,NA,-1550.744444,-1825.811111,-2100.877778,162.6666667,161.1666667,-20.27777778,NA,-2437.077778,-2712.144444,-2987.211111,158.1666667,156.6666667,-146.6111111,NA,-3323.411111,-3598.477778,-3873.544444,153.6666667,152.1666667,-272.9444444,NA,-4209.744444,-4484.811111,-4759.877778,149.1666667,147.6666667,-399.2777778,NA,-5096.077778,-5371.144444,-5646.211111,144.6666667,143.1666667,-525.6111111,NA,-5982.411111,-6257.477778,-6532.544444,140.1666667,138.6666667,-651.9444444,NA,-6868.744444,-7143.811111,-7418.877778,135.6666667,134.1666667,-778.2777778,NA,-7755.077778,-8030.144444,-8305.211111,131.1666667,129.6666667,-904.6111111,NA,-8641.411111,-8916.477778,-9191.544444,126.6666667,125.1666667,-1030.944444,NA,-9527.744444,-9802.811111,-10077.87778,122.1666667,120.6666667,-1157.277778,NA,-10414.07778,-10689.14444,-10964.21111,117.6666667,116.1666667,-1283.611111,NA,-11300.41111,-11575.47778,-11850.54444,113.1666667,111.6666667
hoge13,124,23,179,28,-126.6666667,-326.8333333,6.333333333,143.2857143,146.8928571,241.4722222,-160.35,-740.4349206,-1041.805159,-1343.175397,168.5357143,172.1428571,100.2638889,34.9,-1712.893254,-2014.263492,-2315.63373,193.7857143,197.3928571,-40.94444444,230.15,-2685.351587,-2986.721825,-3288.092063,219.0357143,222.6428571,-182.1527778,425.4,-3657.809921,-3959.180159,-4260.550397,244.2857143,247.8928571,-323.3611111,620.65,-4630.268254,-4931.638492,-5233.00873,269.5357143,273.1428571,-464.5694444,815.9,-5602.726587,-5904.096825,-6205.467063,294.7857143,298.3928571,-605.7777778,1011.15,-6575.184921,-6876.555159,-7177.925397,320.0357143,323.6428571,-746.9861111,1206.4,-7547.643254,-7849.013492,-8150.38373,345.2857143,348.8928571,-888.1944444,1401.65,-8520.101587,-8821.471825,-9122.842063,370.5357143,374.1428571,-1029.402778,1596.9,-9492.559921,-9793.930159,-10095.3004,395.7857143,399.3928571,-1170.611111,1792.15,-10465.01825,-10766.38849,-11067.75873,421.0357143,424.6428571,-1311.819444,1987.4,-11437.47659,-11738.84683,-12040.21706,446.2857143,449.8928571,-1453.027778,2182.65,-12409.93492,-12711.30516,-13012.6754,471.5357143,475.1428571
hoge14,NA,NA,179,26,-154.6666667,-367.3333333,1.333333333,NA,NA,250.5555556,-199.6571429,-816.4587302,-1144.13254,-1471.806349,NA,NA,94.47222222,16.84285714,-1875.042063,-2202.715873,-2530.389683,NA,NA,-61.61111111,233.3428571,-2933.625397,-3261.299206,-3588.973016,NA,NA,-217.6944444,449.8428571,-3992.20873,-4319.88254,-4647.556349,NA,NA,-373.7777778,666.3428571,-5050.792063,-5378.465873,-5706.139683,NA,NA,-529.8611111,882.8428571,-6109.375397,-6437.049206,-6764.723016,NA,NA,-685.9444444,1099.342857,-7167.95873,-7495.63254,-7823.306349,NA,NA,-842.0277778,1315.842857,-8226.542063,-8554.215873,-8881.889683,NA,NA,-998.1111111,1532.342857,-9285.125397,-9612.799206,-9940.473016,NA,NA,-1154.194444,1748.842857,-10343.70873,-10671.38254,-10999.05635,NA,NA,-1310.277778,1965.342857,-11402.29206,-11729.96587,-12057.63968,NA,NA,-1466.361111,2181.842857,-12460.8754,-12788.54921,-13116.22302,NA,NA,-1622.444444,2398.342857,-13519.45873,-13847.13254,-14174.80635,NA,NA
hoge15,256,15,179,NA,-182.6666667,-407.8333333,-3.666666667,171.6666667,170.1666667,259.6388889,NA,-892.4825397,-1246.459921,-1600.437302,167.1666667,165.6666667,88.68055556,NA,-2037.190873,-2391.168254,-2745.145635,162.6666667,161.1666667,-82.27777778,NA,-3181.899206,-3535.876587,-3889.853968,158.1666667,156.6666667,-253.2361111,NA,-4326.60754,-4680.584921,-5034.562302,153.6666667,152.1666667,-424.1944444,NA,-5471.315873,-5825.293254,-6179.270635,149.1666667,147.6666667,-595.1527778,NA,-6616.024206,-6970.001587,-7323.978968,144.6666667,143.1666667,-766.1111111,NA,-7760.73254,-8114.709921,-8468.687302,140.1666667,138.6666667,-937.0694444,NA,-8905.440873,-9259.418254,-9613.395635,135.6666667,134.1666667,-1108.027778,NA,-10050.14921,-10404.12659,-10758.10397,131.1666667,129.6666667,-1278.986111,NA,-11194.85754,-11548.83492,-11902.8123,126.6666667,125.1666667,-1449.944444,NA,-12339.56587,-12693.54325,-13047.52063,122.1666667,120.6666667,-1620.902778,NA,-13484.27421,-13838.25159,-14192.22897,117.6666667,116.1666667,-1791.861111,NA,-14628.98254,-14982.95992,-15336.9373,113.1666667,111.6666667
hoge16,124,23,179,24,-210.6666667,-448.3333333,-8.666666667,143.2857143,146.8928571,268.7222222,-238.9642857,-968.5063492,-1348.787302,-1729.068254,168.5357143,172.1428571,82.88888889,-1.214285714,-2199.339683,-2579.620635,-2959.901587,193.7857143,197.3928571,-102.9444444,236.5357143,-3430.173016,-3810.453968,-4190.734921,219.0357143,222.6428571,-288.7777778,474.2857143,-4661.006349,-5041.287302,-5421.568254,244.2857143,247.8928571,-474.6111111,712.0357143,-5891.839683,-6272.120635,-6652.401587,269.5357143,273.1428571,-660.4444444,949.7857143,-7122.673016,-7502.953968,-7883.234921,294.7857143,298.3928571,-846.2777778,1187.535714,-8353.506349,-8733.787302,-9114.068254,320.0357143,323.6428571,-1032.111111,1425.285714,-9584.339683,-9964.620635,-10344.90159,345.2857143,348.8928571,-1217.944444,1663.035714,-10815.17302,-11195.45397,-11575.73492,370.5357143,374.1428571,-1403.777778,1900.785714,-12046.00635,-12426.2873,-12806.56825,395.7857143,399.3928571,-1589.611111,2138.535714,-13276.83968,-13657.12063,-14037.40159,421.0357143,424.6428571,-1775.444444,2376.285714,-14507.67302,-14887.95397,-15268.23492,446.2857143,449.8928571,-1961.277778,2614.035714,-15738.50635,-16118.7873,-16499.06825,471.5357143,475.1428571
hoge17,NA,NA,179,22,-238.6666667,-488.8333333,-13.66666667,NA,NA,277.8055556,-278.2714286,-1044.530159,-1451.114683,-1857.699206,NA,NA,77.09722222,-19.27142857,-2361.488492,-2768.073016,-3174.65754,NA,NA,-123.6111111,239.7285714,-3678.446825,-4085.031349,-4491.615873,NA,NA,-324.3194444,498.7285714,-4995.405159,-5401.989683,-5808.574206,NA,NA,-525.0277778,757.7285714,-6312.363492,-6718.948016,-7125.53254,NA,NA,-725.7361111,1016.728571,-7629.321825,-8035.906349,-8442.490873,NA,NA,-926.4444444,1275.728571,-8946.280159,-9352.864683,-9759.449206,NA,NA,-1127.152778,1534.728571,-10263.23849,-10669.82302,-11076.40754,NA,NA,-1327.861111,1793.728571,-11580.19683,-11986.78135,-12393.36587,NA,NA,-1528.569444,2052.728571,-12897.15516,-13303.73968,-13710.32421,NA,NA,-1729.277778,2311.728571,-14214.11349,-14620.69802,-15027.28254,NA,NA,-1929.986111,2570.728571,-15531.07183,-15937.65635,-16344.24087,NA,NA,-2130.694444,2829.728571,-16848.03016,-17254.61468,-17661.19921,NA,NA
hoge18,256,15,179,NA,-266.6666667,-529.3333333,-18.66666667,171.6666667,170.1666667,286.8888889,NA,-1120.553968,-1553.442063,-1986.330159,167.1666667,165.6666667,71.30555556,NA,-2523.637302,-2956.525397,-3389.413492,162.6666667,161.1666667,-144.2777778,NA,-3926.720635,-4359.60873,-4792.496825,158.1666667,156.6666667,-359.8611111,NA,-5329.803968,-5762.692063,-6195.580159,153.6666667,152.1666667,-575.4444444,NA,-6732.887302,-7165.775397,-7598.663492,149.1666667,147.6666667,-791.0277778,NA,-8135.970635,-8568.85873,-9001.746825,144.6666667,143.1666667,-1006.611111,NA,-9539.053968,-9971.942063,-10404.83016,140.1666667,138.6666667,-1222.194444,NA,-10942.1373,-11375.0254,-11807.91349,135.6666667,134.1666667,-1437.777778,NA,-12345.22063,-12778.10873,-13210.99683,131.1666667,129.6666667,-1653.361111,NA,-13748.30397,-14181.19206,-14614.08016,126.6666667,125.1666667,-1868.944444,NA,-15151.3873,-15584.2754,-16017.16349,122.1666667,120.6666667,-2084.527778,NA,-16554.47063,-16987.35873,-17420.24683,117.6666667,116.1666667,-2300.111111,NA,-17957.55397,-18390.44206,-18823.33016,113.1666667,111.6666667
hoge19,124,23,179,20,-294.6666667,-569.8333333,-23.66666667,143.2857143,146.8928571,295.9722222,-317.5785714,-1196.577778,-1655.769444,-2114.961111,168.5357143,172.1428571,65.51388889,-37.32857143,-2685.786111,-3144.977778,-3604.169444,193.7857143,197.3928571,-164.9444444,242.9214286,-4174.994444,-4634.186111,-5093.377778,219.0357143,222.6428571,-395.4027778,523.1714286,-5664.202778,-6123.394444,-6582.586111,244.2857143,247.8928571,-625.8611111,803.4214286,-7153.411111,-7612.602778,-8071.794444,269.5357143,273.1428571,-856.3194444,1083.671429,-8642.619444,-9101.811111,-9561.002778,294.7857143,298.3928571,-1086.777778,1363.921429,-10131.82778,-10591.01944,-11050.21111,320.0357143,323.6428571,-1317.236111,1644.171429,-11621.03611,-12080.22778,-12539.41944,345.2857143,348.8928571,-1547.694444,1924.421429,-13110.24444,-13569.43611,-14028.62778,370.5357143,374.1428571,-1778.152778,2204.671429,-14599.45278,-15058.64444,-15517.83611,395.7857143,399.3928571,-2008.611111,2484.921429,-16088.66111,-16547.85278,-17007.04444,421.0357143,424.6428571,-2239.069444,2765.171429,-17577.86944,-18037.06111,-18496.25278,446.2857143,449.8928571,-2469.527778,3045.421429,-19067.07778,-19526.26944,-19985.46111,471.5357143,475.1428571
hoge20,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000
